,type,ontime,overdue
0,Rental Unit Delivery Conditions,0,14
1,Heat - Excessive  Insufficient,16,48
2,Unsafe Dangerous Conditions,8,105
3,Rodent Activity,138,114
4,Pick up Dead Animal,618,75
5,Unsatisfactory Living Conditions,89,93
6,Request for Pothole Repair,563,540
7,Electrical,2,31
8,Traffic Signal Inspection,290,227
9,Parking Enforcement,2133,96
10,Missed Trash/Recycling,1854,82
11,Pigeon Infestation,1,0
12,CE Collection,361,9
13,Requests for Street Cleaning,1121,164
14,Request for Recycling Cart,649,138
15,Street Light Outages,330,282
16,Sidewalk Repair (Make Safe),167,305
17,Animal Generic Request,344,0
18,Recycling Cart Return,201,176
19,Graffiti Removal,65,74
20,Needle Pickup,267,0
21,Sign Repair,685,159
22,Abandoned Vehicles,117,281
23,Abandoned Bicycle,59,0
24,Improper Storage of Trash (Barrels),461,7
25,Tree Maintenance Requests,1028,0
26,Request for Snow Plowing (Emergency Responder),4,0
27,PWD Graffiti,53,38
28,Poor Conditions of Property,434,6
29,BWSC General Request,25,0
30,Public Works General Request,52,0
31,Contractors Complaint,125,0
32,Schedule a Bulk Item Pickup,1813,0
33,Unshoveled Sidewalk,355,24
34,Overflowing or Un-kept Dumpster,3,19
35,Schedule a Bulk Item Pickup SS,1157,0
36,Maintenance - Homeowner,1,17
37,Unsanitary Conditions - Establishment,81,10
38,Illegal Dumping,93,13
39,Ground Maintenance,122,133
40,Working Beyond Hours,113,0
41,Empty Litter Basket,67,8
42,New Tree Requests,297,4
43,Animal Found,42,0
44,Requests for Traffic Signal Studies or Reviews,18,9
45,General Comments For An Employee,43,0
46,Notification,57,0
47,Protection of Adjoining Property,9,46
48,Building Inspection Request,10,77
49,Space Savers,10,0
50,New Sign  Crosswalk or Pavement Marking,54,28
51,Unsanitary Conditions - Food,9,2
52,Animal Lost,28,0
53,Squalid Living Conditions,4,4
54,General Comments For a Program or Policy,1,2
55,Rooftop & Mechanical Disturbances,7,0
56,Request for Litter Basket Installation,8,2
57,Parks General Request,38,0
58,Equipment Repair,96,142
59,Request for Snow Plowing,110,12
60,No Utilities Residential - Electricity,0,3
61,Mice Infestation - Residential,12,11
62,Chronic Dampness/Mold,7,18
63,Illegal Posting of Signs,10,0
64,Catchbasin,74,0
65,Street Light Knock Downs,38,16
66,Knockdown Replacement,15,3
67,Utility Casting Repair,6,0
68,Sticker Request,384,7
69,Missing Sign,71,22
70,Tree Emergencies,350,126
71,BWSC Pothole,5,0
72,Parks Lighting/Electrical Issues,14,33
73,Sidewalk Repair,20,0
74,Contractor Complaints,41,30
75,General Lighting Request,80,12
76,Construction Debris,13,0
77,Illegal Auto Body Shop,3,5
78,StreetLight Pole WO,1,15
79,Pavement Marking Inspection,5,1
80,Bed Bugs,3,1
81,Illegal Occupancy,2,8
82,Exceeding Terms of Permit,4,48
83,Work w/out Permit,13,152
84,Fire Hydrant,33,0
85,Pavement Marking Maintenance,2,2
86,Parking on Front/Back Yards (Illegal Parking),14,0
87,Big Buildings Recycling (INTERNAL),1,0
88,Pest Infestation - Residential,60,15
89,Item Price Missing,0,1
90,Major System Failure,18,7
91,Poor Ventilation,2,0
92,Unit Pricing Wrong/Missing,0,0
93,Overcrowding,0,5
94,Egress,11,0
95,Illegal Rooming House,0,5
96,Maintenance Complaint - Residential,8,3
97,No Utilities Residential - Water,4,10
98,Animal Noise Disturbances,23,0
99,Undefined Noise Disturbance,16,0
100,Park Improvement Requests,0,0
101,Misc. Snow Complaint,28,0
102,Transportation General Request,22,0
103,Work Hours-Loud Noise Complaints,16,13
104,News Boxes,1,0
105,Traffic Signal Repair,7,0
106,Cross Metering - Sub-Metering,3,8
107,Litter Basket Maintenance,2,0
108,No Utilities Residential - Gas,0,1
109,Loud Parties/Music/People,39,0
110,General Traffic Engineering Request,8,2
111,Sidewalk Cover / Manhole,34,0
112,Sewage/Septic Back-Up,3,2
113,Parking Meter Repairs,0,0
114,No Utilities - Food Establishment - Water,0,0
115,Roadway Repair,24,0
116,Tree in Park,6,0
117,Public Events Noise Disturbances,3,0
118,No Utilities - Food Establishment - Sewer,0,0
119,Plumbing,5,6
120,Food Alert - Unconfirmed,5,0
121,Zoning,0,4
122,Pole Compliance,2,2
123,Food Alert - Confirmed,5,0
124,Trash on Vacant Lot,3,4
125,Scale Not Visible,0,0
126,Unsatisfactory Utilities - Electrical  Plumbing,2,6
127,Automotive Noise Disturbance,10,0
128,Bicycle Issues,1,0
129,Mechanical,1,1
130,Unsanitary Conditions - Employees,57,2
131,Illegal Vending,3,1
132,Upgrade Existing Lighting,5,0
133,Utility Call-In,2,2
134,No-Tow Complaint Confirmation,3,4
135,Install New Lighting,1,2
136,Scanning Overcharge,1,0
137,Abandoned Building,4,12
138,Billing Complaint,2,0
139,Fire in Food Establishment,0,0
140,New Tree Warrantee Inspection,0,0
