,type,ontime,overdue
0,Rental Unit Delivery Conditions,4,19
1,Heat - Excessive  Insufficient,15,37
2,Unsafe Dangerous Conditions,3,81
3,Rodent Activity,178,217
4,Pick up Dead Animal,456,56
5,Unsatisfactory Living Conditions,60,79
6,Request for Pothole Repair,401,236
7,Electrical,11,14
8,Traffic Signal Inspection,186,94
9,Parking Enforcement,3900,201
10,Missed Trash/Recycling/Yard Waste/Bulk Item,1636,77
11,Pigeon Infestation,0,3
12,CE Collection,460,8
13,Requests for Street Cleaning,1700,235
14,Request for Recycling Cart,930,374
15,Street Light Outages,258,205
16,Sidewalk Repair (Make Safe),129,164
17,Animal Generic Request,251,0
18,Recycling Cart Return,523,200
19,Graffiti Removal,85,57
20,Needle Pickup,1831,2
21,Sign Repair,246,101
22,Abandoned Vehicles,264,590
23,Abandoned Bicycle,46,0
24,Improper Storage of Trash (Barrels),945,3
25,Tree Maintenance Requests,586,0
26,Request for Snow Plowing (Emergency Responder),1,0
27,PWD Graffiti,49,34
28,Poor Conditions of Property,733,13
29,BWSC General Request,18,0
30,Public Works General Request,35,0
31,Contractors Complaint,118,0
32,Schedule a Bulk Item Pickup,1962,0
33,Unshoveled Sidewalk,307,9
34,Overflowing or Un-kept Dumpster,6,16
35,Schedule a Bulk Item Pickup SS,804,0
36,Maintenance - Homeowner,1,19
37,Unsanitary Conditions - Establishment,85,14
38,Illegal Dumping,165,4
39,Ground Maintenance,257,242
40,Working Beyond Hours,87,0
41,Empty Litter Basket,70,35
42,New Tree Requests,118,0
43,Animal Found,42,0
44,Requests for Traffic Signal Studies or Reviews,17,2
45,General Comments For An Employee,43,0
46,Notification,85,0
47,Protection of Adjoining Property,12,34
48,Building Inspection Request,21,85
49,Space Savers,48,0
50,New Sign  Crosswalk or Pavement Marking,41,15
51,Unsanitary Conditions - Food,18,2
52,Animal Lost,26,0
53,Squalid Living Conditions,3,0
54,General Comments For a Program or Policy,6,0
55,Rooftop & Mechanical Disturbances,7,0
56,Request for Litter Basket Installation,11,4
57,Parks General Request,27,0
58,Equipment Repair,83,121
59,Request for Snow Plowing,85,5
60,No Utilities Residential - Electricity,2,5
61,Mice Infestation - Residential,11,13
