city_council_district,type,count,ontime
1,Street Light Outages,612,1
1,Request for Pothole Repair,487,1
1,Recycling Cart Return,394,1
1,Graffiti Removal,389,1
1,Work w/out Permit,372,1
1,Requests for Street Cleaning,302,1
1,Parking Enforcement,293,1
1,Sign Repair,229,1
1,Abandoned Vehicles,212,1
1,Sidewalk Repair (Make Safe),199,1
1,Rodent Activity,196,1
1,Unsafe Dangerous Conditions,192,1
1,Equipment Repair,173,1
1,Request for Recycling Cart,152,1
1,Ground Maintenance,141,1
1,Building Inspection Request,113,1
1,Unsatisfactory Living Conditions,96,1
1,Pick up Dead Animal,89,1
1,Empty Litter Basket,85,1
1,Traffic Signal Inspection,85,1
1,PWD Graffiti,81,1
1,Exceeding Terms of Permit,70,1
1,Protection of Adjoining Property,70,1
1,Contractor Complaints,68,1
1,Pest Infestation - Residential,50,1
1,Parks Lighting/Electrical Issues,43,1
1,Electrical,42,1
1,General Lighting Request,39,1
1,Tree Emergencies,35,1
1,Rental Unit Delivery Conditions,34,1
1,Work Hours-Loud Noise Complaints,34,1
1,Missing Sign,32,1
1,Pole Compliance,32,1
1,Heat - Excessive  Insufficient,31,1
1,Unsanitary Conditions - Employees,30,1
1,Maintenance - Homeowner,24,1
1,Improper Storage of Trash (Barrels),22,1
1,New Sign  Crosswalk or Pavement Marking,20,1
1,Illegal Occupancy,19,1
1,Unsanitary Conditions - Establishment,19,1
1,Major System Failure,18,1
1,Maintenance Complaint - Residential,16,1
1,Overflowing or Un-kept Dumpster,16,1
1,Illegal Auto Body Shop,15,1
1,Street Light Knock Downs,15,1
1,StreetLight Pole WO,15,1
1,Mice Infestation - Residential,13,1
1,Abandoned Building,12,1
1,CE Collection,12,1
1,Chronic Dampness/Mold,12,1
1,Knockdown Replacement,12,1
1,Illegal Dumping,11,1
1,Request for Snow Plowing,11,1
1,Trash on Vacant Lot,11,1
1,Missed Trash/Recycling/Yard Waste/Bulk Item,10,1
1,Poor Conditions of Property,10,1
1,Cross Metering - Sub-Metering,9,1
1,Illegal Rooming House,8,1
1,Unshoveled Sidewalk,8,1
1,Scanning Overcharge,7,1
1,No Utilities Residential - Water,6,1
1,Sidewalk Repair,6,1
1,Sticker Request,5,1
1,Student Move-in Issues,5,1
1,Mosquitoes (West Nile),4,1
1,Pavement Marking Maintenance,4,1
1,Plumbing,4,1
1,Sewage/Septic Back-Up,4,1
1,Zoning,4,1
1,Bed Bugs,3,1
1,Food Alert - Unconfirmed,3,1
1,Parking Meter Repairs,3,1
1,Parking on Front/Back Yards (Illegal Parking),3,1
1,Request for Litter Basket Installation,3,1
1,Requests for Traffic Signal Studies or Reviews,3,1
1,Squalid Living Conditions,3,1
1,Tree Maintenance Requests,3,1
1,Unsanitary Conditions - Food,3,1
1,Unsatisfactory Utilities - Electrical  Plumbing,3,1
1,Upgrade Existing Lighting,3,1
1,Illegal Posting of Signs,2,1
1,Illegal Vending,2,1
1,No Utilities Residential - Electricity,2,1
1,No-Tow Complaint Confirmation,2,1
1,Occupying W/Out A Valid CO/CI,2,1
1,Poor Ventilation,2,1
1,Fire in Food Establishment,1,1
1,Food Alert - Confirmed,1,1
1,General Comments For An Employee,1,1
1,General Comments For a Program or Policy,1,1
